PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude
CA-W-23053,SAMANO CELLARS INC.,SAMANO FAMILY CELLARS,13788 ROSWELL AVE STE 186,CHINO,CA,91710,SAN BERNARDINO,34.0029714,-117.7229164
CA-W-17765,E. & J. GALLO WINERY,ROBERT TALBOTT VINEYARDS & WINERY,1380 RIVER ROAD,SALINAS,CA,93908,MONTEREY,36.4971036,-121.5026676
CA-W-20032,"THE VINE INTERVENTION, LLC",DRAKE WINES,13800 HUMMING BIRD LN,SAN MARTIN,CA,95046,SANTA CLARA,37.0701667,-121.6446905
CA-W-17422,"CLOS LACHANCE WINES, LLC",CLOS LACHANCE,13800 HUMMINGBIRD LN,SAN MARTIN,CA,95046,SANTA CLARA,37.0701667,-121.6446905
CA-W-3197,"MCMASTER WINE GROUP, INC.",ARGONAUT WINERY,13825 WILLOW CREEK RD,IONE,CA,95640,AMADOR,38.4113305,-120.9069526
CA-W-22846,"MONASTERIO DE VID, LLC",CEDAR VIEW WINERY,1384 S FRANKWOOD AVE,SANGER,CA,93657,FRESNO,36.7136917,-119.4480615
CA-W-23830,TANK SPACE,TANK SPACE,1390 VINCI AVE BLDG A,SACRAMENTO,CA,95838,,38.6651978,-121.4347415
CA-W-23244,"CMV, LLC",CASINO MINE RANCH,13908 SHENANDOAH RD,PLYMOUTH,CA,95669,AMADOR,38.5400725,-120.7466232
CA-W-21344,"ARTISAN WINES OF CALIFORNIA, LLC",ARTISAN WINES OF CALIFORNIA,1391 TUCKER RD,CALISTOGA,CA,94515,NAPA,38.5564399,-122.5311529
CA-W-16519,KAMAL YOUSSEFI AZARI AND PARICHEHER AZARI,AZARI WINERY,1399 SPRING HILL RD,PETALUMA,CA,94952,SONOMA,38.2171396,-122.6847132
CA-W-21610,"CHOLAME VINEYARD, LLC",CHOLAME VINEYARD,140 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA,34.6127738,-120.1996537
CA-W-22534,"GROUND EFFECT WINE CO., LLC",GROUND EFFECT WINE CO,140 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA,34.6127738,-120.1996537
CA-W-16482,"IMAGINE WINE, LLC",IMAGINE WINE,140 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA,34.6127738,-120.1996537
CA-W-20413,MICHAEL R. BROWN,KALYRA WINERY,140 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA,34.6127738,-120.1996537
CA-W-22675,"TIERRA Y VINO, LLC",TIERRA Y VINO,140 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA,34.6127738,-120.1996537
CA-W-1859,"JARED A. ANDERSON (GP), SPECTRUM VINTAGES LTD (LP)",CHAINE D'OR VINEYARDS,140 SUNRISE DR,WOODSIDE,CA,94062,SAN MATEO,37.3944017,-122.2592296
CA-W-22273,"DUMOL WINERY, LLC",DUMOL,1400 AMERICAN WAY,WINDSOR,CA,95492,SONOMA,38.5301384,-122.8003814
CA-W-15455,"STONECUSHION, INC.",MAZZOCCO WINERY,1400 LYTTON SPRINGS RD,HEALDSBURG,CA,95448,SONOMA,38.6558856,-122.8974921
CA-W-22385,STELLA HANSEN,RANCHO MARIA FAMILY VINEYARDS,1400 LYTTON SPRINGS RD,HEALDSBURG,CA,95448,USA,38.6558856,-122.8974921
CA-W-303,SCHRAMSBERG VINEYARDS COMPANY,J DAVIES,1400 SCHRAMSBERG RD,CALISTOGA,CA,94515,NAPA,38.5505189,-122.5380696
CA-W-23784,DILETTANTE WINE LLC,DILETTANTE WINE,1401 MARINA WAY S 280,RICHMOND,CA,94804,,37.9125962,-122.3563322
CA-W-23786,MEGAN SEKERMESTROVICH,LULA,1401 MARINA WAY S STE 280,RICHMOND,CA,94804,CONTRA COSTA,37.9125962,-122.3563322
CA-W-21339,NOEL DIAZ & BARRIE QUAN,PURITY WINE,1401 MARINA WAY S STE 280,RICHMOND,CA,94804,CONTRA COSTA,37.9125962,-122.3563322
CA-W-23329,DIEGO LUIS PEREZ & GEORGIA HELEN STAPLES,ZUMO WINE,1401 MARINA WAY S STE 280,RICHMOND,CA,94048,CONTRA COSTA,37.9125962,-122.3563322
CA-W-23971,BOOKER THOMAS RILEY,EVERYTHING IS OKAY,1401 MARINA WAY S UNIT 280,RICHMOND,CA,94804,CONTRA COSTA,37.9125962,-122.3563322
CA-W-23969,MOUNTAIN MISERY WINE,MOUNTAIN MISERY WINE,1401 S MARINA WAY S STE 280,RICHMOND,CA,94804,,37.9125962,-122.3563322
CA-W-23970,IAN MCCARTHY,ARTEMIS BOTANICAL,1401 S MARINA WAY UNIT 280,RICHMOND,CA,94804,,37.9125962,-122.3563322
CA-W-15047,"EDWARD SELLERS VINEYARDS & WINES, LLC",EDWARD SELLERS VINEYARDS & WINES,1401 W HIGHWAY 46,PASO ROBLES,CA,93446,SAN LUIS OBISPO,35.5820381,-120.7146746
CA-W-21402,"J. DUSI, INC.",J DUSI WINES,1401 W HIGHWAY 46,PASO ROBLES,CA,93446,SAN LUIS OBISPO,35.5820381,-120.7146746
CA-W-17250,RICHARD WAYNE SCHULTZ AND MICHELLE TINSLEY SCHULTZ,HARDWOOD CELLARS,1401 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5977724,-122.8862717
CA-W-22868,"MISSION CELLARS, LLC",MISSION CELLARS,14053 MIDLAND RD,POWAY,CA,92064,SAN DIEGO,32.9689394,-117.0358364
CA-W-22200,"VENGE VINEYARDS, INC.",CROIX ESTATE,1406 WOOD RD,FULTON,CA,95439,SONOMA,38.4814315,-122.7757236
CA-W-23532,"ENGINEERED PORTENTS, LLC",GOOD OMEN MEAD,141 E GRAND AVE,ESCONDIDO,CA,92025,,33.121861,-117.0804655
CA-W-21063,"ECO VINO, INC.",ECO VINO,14100 MOUNTAIN HOUSE RD,HOPLAND,CA,95449,,38.9609815,-123.1212686
CA-W-21060,SHOREACRE WINES LLC,SHOREACRE WINES,14100 MOUNTAIN HOUSE RD,HOPLAND,CA,95449,,38.9609815,-123.1212686
CA-W-21622,DUCKHORN WINE COMPANY,WATERFOWL WINE COMPANY,14100 MOUNTAIN HOUSE RD,HOPLAND,CA,95449,MENDOCINO,38.9609815,-123.1212686
CA-W-2129,"SUTTER RIDGE VINEYARDS, LP, JOHN L. BREE, (GENERAL PARTNER)",SUTTER RIDGE VINEYARDS,14110 RIDGE RD,SUTTER CREEK,CA,95685,AMADOR,38.3938023,-120.7620463
CA-W-16191,JAMES BLAKE LLC,JAMES BLAKE WINES,1412 STEWARD RD,SACRAMENTO,CA,95864,SACRAMENTO,38.5905571,-121.3595908
CA-W-23972,METHODE SAUVAGE LLC,METHODE SAUVAGE,1415 EASTSIDE RD,ETNA,CA,96027,SISKIYOU,41.4703636,-122.8377957
CA-W-17694,"THOMAS COLE, ALAN GRANT, ERIC SMITH",ERALTO VINEYARD,14196 SUMMIT CREST,ESCONDIDO,CA,92025,SAN DIEGO,33.0907329,-117.0260082
CA-W-16043,"OLIVINO, INC.",OLIVINO,14200 MOUNTAIN HOUSE RD STE B,HOPLAND,CA,95449,MENDOCINO,38.959211,-123.121863
CA-W-626,WILLIAM C. CADMAN,TULOCAY WINERY,1426 COOMBSVILLE RD,NAPA,CA,94558,NAPA,38.2979476,-122.2586868
CA-W-21961,STANDING JOURNEY LLC,CHATEAU MONTELENA,1429 TUBBS LN,CALISTOGA,CA,94515,NAPA,38.6023653,-122.5975988
CA-W-16810,"REVE D'OR VINEYARDS & WINERY, LLC",SZABO VINEYARDS,14293 GOLD FORK RD,NEVADA CITY,CA,95959,NEVADA,39.2621093,-121.146098
CA-W-23927,GOODACRE VINEYARDS LLC,GOODACRE VINEYARDS,1430 GROVE ST,HEALDSBURG,CA,95448,SONOMA,38.6292176,-122.8760207
CA-W-23278,RAMSIN BITMANSOUR,RISING MOON VINEYARDS,14300 ARNERICH RD,LOS GATOS,CA,95032,USA,37.2123486,-121.9179189
CA-W-16806,ERIC ROSS WINERY LLC,ERIC ROSS WINERY,14300 ARNOLD DR,GLEN ELLEN,CA,95442,SONOMA,38.3541059,-122.5247883
CA-W-21557,"M. DRAXTON, INC.",DRAXTON WINES,1431 A&B GROVE ST,HEALDSBURG,CA,95448,SONOMA,38.6294191,-122.8771774
CA-W-20461,"GUADAGNI FAMILY WINES, LLC",GUADAGNI FAMILY WINES,1431 A&B GROVE ST,HEALDSBURG,CA,95448,SONOMA,38.6294191,-122.8771774
CA-W-22295,"DRAXTON WINE STORAGE, LLC",DRAXTON WINE STORAGE,1431 GROVE ST UNIT A & B,HEALDSBURG,CA,95448,,38.629445,-122.877104
CA-W-16114,"JACKSON FAMILY WINES, INC.",ARROWOOD WINERY,14347 SONOMA HWY,GLEN ELLEN,CA,95442,SONOMA,38.3587432,-122.5048898
CA-W-21793,RHONDA HOOD,WILD WEST WINERY,1435 BIG VALLEY RD,LAKEPORT,CA,95453,LAKE,39.0061589,-122.886158
CA-W-16435,FRANCIS HAROLD BRAZIL & SHARON ANN BRAZIL,FROG ALLEY CELLARS,1436 AMBROSINI LN,FERNDALE,CA,95536,HUMBOLDT,40.587668,-124.251
CA-W-23976,E. & J. GALLO WINERY,WILD HORSE WINERY,1437 WILD HORSE WINERY CT,TEMPLETON,CA,93465,,35.532568,-120.670546
CA-W-3254,"QUOVIUS, INC.","SALERNO HEALDSBURG ESTATE WINERY, D.O.M.",1441 GROVE ST STE B,HEALDSBURG,CA,95448,SONOMA,38.6300321,-122.8770999
CA-W-21711,THE CHARTHIA GROUP LLC,CHARTHIA CELLARS,1443 SILVERADO TRAIL S.,RUTHERFORD,CA,94573,NAPA,38.4937088,-122.4216738
CA-W-16072,ATHAIR WINES INC.,ATHAIR WINES,1443 SILVERADO TRL,SAINT HELENA,CA,94574,NAPA,38.4939203,-122.4219724
CA-W-21666,"HERENCIA WINE COMPANY, INC.",HERENCIA WINE COMPANY,1443 SILVERADO TRL,RUTHERFORD,CA,94573,NAPA,38.3041751,-122.2778243
CA-W-3031,WILLIAM HARRISON VINEYARDS & WINERY LLC,WILLIAM HARRISON VINEYARDS & WINERY,1443 SILVERADO TRL,SAINT HELENA,CA,94574,NAPA,38.4939203,-122.4219724
CA-W-21452,"SOLITARY CELLARS WINE COMPANY, LLC",SOLITARY CELLARS,14439 N FRIANT RD,FRIANT,CA,93626,FRESNO,36.9445974,-119.731044
CA-W-17133,"SUMNER PECK RANCH, INC.",SUMNER PECK RANCH,14439 N FRIANT RD,FRIANT,CA,93626,FRESNO,36.9445974,-119.731044
CA-W-15929,DEL DOTTO VINEYARDS,DEL DOTTO WINERY & CAVES,1445 ST. HELENA HWY,SAINT HELENA,CA,94574,NAPA,38.479914,-122.4425216
CA-W-22260,VINOENOLOGY LLC,KUKERI WINES,1446 INDUSTRIAL AVE,SEBASTOPOL,CA,95472,,38.3855154,-122.8116231
CA-W-15770,MAGITO & COMPANY LLC,MAGITO WINES,1446 INDUSTRIAL AVE,SEBASTOPOL,CA,95472,SONOMA,38.3855154,-122.8116231
CA-W-17080,"AMERICAN WINESECRETS, LLC",WINESECRETS,1446 INDUSTRIAL AVE WHSE 2,SEBASTOPOL,CA,95472,SONOMA,38.3855154,-122.8116231
CA-W-21858,BLEND CRAFT WINES INC.,GOLD CREEK VINEYARDS,14467 HIGHWAY 49,AMADOR CITY,CA,95601,AMADOR,38.4193784,-120.8431201
CA-W-22837,"FREE RANGE FLOWER WINERY, LLC",FREE RANGE FLOWER WINERY,1448 3RD ST,OAKLAND,CA,94607,ALAMEDA,37.8028078,-122.2955954
CA-W-3623,STUART GOLDMAN,FROLICKING FROG,14490 SAN MIGUEL RD,ATASCADERO,CA,93422,SAN LUIS OBISPO,35.4571207,-120.7313353
CA-W-3604,"PREMIUM WINE STORAGE, LLC",PREMIUM WINE STORAGE,1450 AIRPORT BLVD 120,SANTA ROSA,CA,95403,SONOMA,38.5105889,-122.7910484
CA-W-22421,ABSENTEE WINERY LLC,ABSENTEE WINERY,14500 POINT REYES PETALUMA RD MILKING BARN,POINT REYES STATION,CA,94956,MARIN,38.0826748,-122.7810654
CA-W-23190,"DEVOTO-WADE, LLC.",GOLDEN STATE CIDER,1451 GROVE ST,HEALDSBURG,CA,95448,SONOMA,38.6307571,-122.8770999
CA-W-17429,"LIQUID TRADE SOLUTIONS, INC.",BIGVINE,1451 STANLY LN,NAPA,CA,94559,NAPA,38.2445664,-122.2934327
CA-W-23443,DUCKHORN WINE COMPANY,MIGRATION,1451 STANLY LN,NAPA,CA,94559,NAPA,38.2445664,-122.2934327
CA-W-2835,"ABREU VINEYARDS, INC.",ABREU VINEYARD,1451 YOUNTVILLE CROSSROAD,YOUNTVILLE,CA,94599,NAPA,38.4237538,-122.3454952
CA-W-2437,ROBERT B. & VIRGINIA L. HILSMAN,DOUBLE OAK VINEYARDS & WINERY,14510 BLIND SHADY RD,NEVADA CITY,CA,95959,NEVADA,39.3386826,-121.0581079
CA-W-16277,EYOB EMBAYE,LULA TEJ,14530 LAKESHORE DR UNIT C,CLEARLAKE,CA,95422,LAKE,38.9516554,-122.6414771
CA-W-2908,"AL DI LA VINEYARDS, INC. & ARGER CELLARS, INC",VILLA HELENA VINEYARDS,1455 INGLEWOOD AVE,SAINT HELENA,CA,94574,NAPA,38.4859601,-122.4510657
CA-W-21574,"GOLDEN-AMERICA, INC.",VILLA HELENA WINERY,1455 INGLEWOOD AVE,SAINT HELENA,CA,94574,NAPA,38.4859601,-122.4510657
CA-W-21986,KATOA CELLARS LLC,KATOA CELLARS,14556 POWERLINE RD,GRASS VALLEY,CA,95945,,39.1569321,-120.9736726
CA-W-22710,DANIEL & YVONNE DUARTE,DUARTE ESTATES WINERY,1459 KAY AVE,OAKLEY,CA,94561,CONTRA COSTA,37.9771607,-121.721906
CA-W-3108,"STARR MILANO, INC.",MILANO WINERY,14594 S HIGHWAY 101,HOPLAND,CA,95449,MENDOCINO,38.9562104,-123.1096237
CA-W-2975,"PHILLIPS FARMS, LLC",MICHAEL DAVID WINERY,14647 N RAY RD,LODI,CA,95242,SAN JOAQUIN,38.1125433,-121.3706556
CA-W-15084,STEPHEN AND JAMIE CONCANNON,CONVERGENCE VINEYARDS,14650 HWY 124,PLYMOUTH,CA,95669,AMADOR,38.4256891,-120.8750153
CA-W-21776,MATTHEW RICHARDS,MATTHEW RICHARDS CELLARS,1466 F ST,SAN DIEGO,CA,92101,,32.7140776,-117.1510158
CA-W-22927,KIRK CARROLL,ARTHUR MICHAEL VINEYARDS & WINERY,14670 108 HWY,JAMESTOWN,CA,95327,TUOLUMNE,37.892265,-120.496037
CA-W-15425,BARBARA J. GRATTA,GRATTA WINES,1469 HUDSON AVE,SAN FRANCISCO,CA,94124,SAN FRANCISCO,37.7384741,-122.3859077
CA-W-21184,CLAVEY VINEYARDS & WINERY LLC,CLAVEY VINEYARDS & WINERY,14709 POWERLINE RD,CHICAGO PARK,CA,95712,NEVADA,39.155401,-120.970109
CA-W-21689,"CHRISTOPHER TYNAN WINES, LLC",CHRISTOPHER TYNAN WINES,1473 YOUNTVILLE CROSS RD,YOUNTVILLE,CA,94599,NAPA,38.4240494,-122.3447164
CA-W-16659,EDWARDS FISCHL LLC,LINNAEA VINEYARDS,1473 YOUNTVILLE CROSS RD,YOUNTVILLE,CA,94599,NAPA,38.4240494,-122.3447164
CA-W-3148,"TWIN PEAKS WINERY, INC.",SAV WINERY,1473 YOUNTVILLE CROSS RD,YOUNTVILLE,CA,94599,NAPA,38.4240494,-122.3447164
CA-W-2020,JVW CORPORATION,JORDAN VINEYARD & WINERY,1474 ALEXANDER VALLEY RD,HEALDSBURG,CA,95448,SONOMA,38.6616209,-122.8500717
CA-W-22538,CALIFORNIA FRUIT WINE CORP.,FRUIT CRAFT,1477 UNIVERSITY AVE,SAN DIEGO,CA,92103,SAN DIEGO,32.7482172,-117.1494629
CA-W-22054,"TWO WOLVES WINE, LLC",TWO WOLVES WINE,1480 COUNT FLEET ST,SANTA YNEZ,CA,93460,SANTA BARBARA,34.617339,-120.0296921
CA-W-16307,"ANDERS-LANE ARTISAN WINES, L.P.",ANDERS-LANE ARTISAN WINES,1480 E MAIN AVE,MORGAN HILL,CA,95037,SANTA CLARA,37.1456482,-121.6336689
CA-W-551,"EMILIO GUGLIELMO WINERY, INC.",EMILIO GUGLIELMO WINERY,1480 E MAIN AVE,MORGAN HILL,CA,95037,SANTA CLARA,37.1456482,-121.6336689
CA-W-23165,"MANCINI DI LUCCA WINERY, LLC",MANCINI DI LUCCA WINERY,1480 E MAIN AVE,MORGAN HILL,CA,95037,SANTA CLARA,37.1456482,-121.6336689
CA-W-16746,MICHAEL ALEX MICHAUD AND CAROL JANE HASTINGS,MICHAUD VINEYARD,1480 E MAIN AVE,MORGAN HILL,CA,95037,SANTA CLARA,37.1456482,-121.6336689
CA-W-23516,"ST. STEPHEN VINEYARDS, LLC",ST STEPHEN VINEYARDS LLC,1480 E MAIN AVE,MORGAN HILL,CA,95037,SANTA CLARA,37.1456482,-121.6336689
CA-W-1902,"MOUNTAIN VIEW VINTNERS, INC.",MOUNTAIN VIEW VINTNERS,1480 E MAIN AVE STE 1,MORGAN HILL,CA,95037,SANTA CLARA,37.1456482,-121.6336689
CA-W-22491,JOHN C GRIFFIN,GRIFFIN VINEYARD,14904 POTATO RANCH RD,SONORA,CA,95370,TUOLUMNE,38.0115542,-120.3145138
CA-W-24032,MAHOGANY MOUNTAIN VINEYARD AND WINERY LLC,MAHOGANY MOUNTAIN VINEYARD AND WINERY,14905 MUSSEY GRADE RD,RAMONA,CA,92065,SAN DIEGO,32.986292,-116.918909
CA-W-23907,"SIX BLOCKS WINERY, INC.",SIX BLOCKS WINERY,14920 MULLER RD,PLYMOUTH,CA,95669,AMADOR,38.4337978,-120.9072965
CA-W-21911,JAMIE M LLC,AUBERGE ROAD,15 CHATEAU LN,NAPA,CA,94558,NAPA,38.3074544,-122.2475085
CA-W-23769,"BRANDON GREGORY ESTATE, LLC","BRANDON GREGORY ESTATE, LLC",15 CHATEAU LN,NAPA,CA,94558,NAPA,38.3074544,-122.2475085
CA-W-21769,"XVCH, LLC",COVERT ESTATE,15 CHATEAU LN,NAPA,CA,94558,NAPA,38.3074544,-122.2475085
CA-W-23343,"MITHRAS WINERY, LLC",MITHRA WINERY,15 CHATEAU LN,NAPA,CA,94558,NAPA,38.3074544,-122.2475085
CA-W-21802,"NICHOLSON JONES SELECTIONS, LLC",NICHOLSON JONES SELECTIONS,15 CHATEAU LN,NAPA,CA,94558,NAPA,38.3074544,-122.2475085
CA-W-22407,"SIRE ESTATE, LLC",SIRE ESTATE,15 CHATEAU LN,NAPA,CA,94558,NAPA,38.3074544,-122.2475085
CA-W-15971,"TORTUGA VINEYARDS, LLC",TORTUGA VINEYARDS,15 HAHNERMANN LN,NAPA,CA,94558,NAPA,38.3354517,-122.3266407
CA-W-2235,150 MORELLO AVENUE LIMITED PARTNERSHIP,CONRAD VIANO WINERY,150 MORELLO AVE,MARTINEZ,CA,94553,CONTRA COSTA,38.0048305,-122.1013642
CA-W-24068,"STORY TAVERN LP, HILLCREST DEVELOPMENT PARTNERS, LLC GP",CIDERWORKS@STORY TAVERN,150 S SAN FERNANDO BLVD STE 30,BURBANK,CA,91502,LOS ANGELES,34.1804263,-118.307815
CA-W-1644,"BUTTONWOOD FARM WINERY, INC",BUTTONWOOD FARM WINERY,1500 ALAMO PINTADO RD,SOLVANG,CA,93463,SANTA BARBARA,34.6236235,-120.1146473
CA-W-23683,"DIAMOND MOUNTAIN VINEYARD COMPANY, INC.",DIAMOND CREEK VINEYARDS,1500 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,NAPA,38.5652438,-122.5735261
CA-W-21652,"JALAMA CANON RANCH, LLC",JCR VINEYARD,1500 E CHESTNUT CT UNIT D,LOMPOC,CA,93436,SANTA BARBARA,34.6425931,-120.4397689
CA-W-17476,"BLACK SHEEP FINDS, LLC",BLACK SHEEP FINDS,1500 E CHESTNUT CT UNIT F & G,LOMPOC,CA,93436,SANTA BARBARA,34.6425931,-120.4397689
CA-W-24003,"FUTURE PERFECT WINE, INC.",FUTURE PERFECT,1500 E CHESTNUT CT UNIT F & G,LOMPOC,CA,93436,SANTA BARBARA COUNTY,34.6425931,-120.4397689
CA-W-15744,"TRUST WINERY, LTD.",STEPHEN & WALKER,1500 GROVE ST,HEALDSBURG,CA,95448,SONOMA,38.6322539,-122.8765053
CA-W-904,LAWRENCE LLOYD OLDS,SKY VINEYARDS,1500 LOKOYA RD,NAPA,CA,94558,NAPA,38.3710796,-122.42336
CA-W-23919,VSWC LLC,FAR MOUNTAIN WINERY,1500 LOS CARNEROS AVE,NAPA,CA,94559,,38.2501253,-122.3255436
CA-W-23921,SAMANTHA SHEEHAN IMPORTS,POE WINES,1500 LOS CARNEROS AVE,NAPA,CA,94559,NAPA,38.2501253,-122.3255436
CA-W-23920,PRIMITIVE WINE LLC,PRIMITIVE WINE,1500 LOS CARNEROS AVE,NAPA,CA,94559,USA,38.2501253,-122.3255436
CA-W-3544,SAINTSBURY LLC,SAINTSBURY,1500 LOS CARNEROS AVE,NAPA,CA,94559,NAPA,38.2501253,-122.3255436
CA-W-22099,"VINTAGE WINE ESTATES, INC.",B.R. COHN WINERY,15000 SONOMA HWY,GLEN ELLEN,CA,95442,SONOMA,38.3493329,-122.5016912
CA-W-23881,"RUBIDOUX RIDGE VINEYARD, LLC",RUBIDOUX RIDGE VINEYARD,15000 TYLER RD,FIDDLETOWN,CA,95629,AMADOR,38.513774,-120.7415873
CA-W-22462,"LANCASTER ESTATE VINEYARD & WINERY, LLC",LANCASTER ESTATE,15001 CHALK HILL RD,HEALDSBURG,CA,95448,SONOMA,38.6254613,-122.7740187
CA-W-1295,RICHARD WALLACE FORMAN,FORMAN VINEYARD,1501 BIG ROCK RD,SAINT HELENA,CA,94574,NAPA,38.5176129,-122.4470556
CA-W-16532,NILE B. ZACHERLE & WHITNEY B. FISHER,ZACHERLE,1501 CEDAR ST,CALISTOGA,CA,94515,NAPA,38.5778305,-122.5832928
CA-W-20567,"DE SU PROPIA COSECHA, LLC",DE SU PROPIA COSECHA,1501 E CHESTNUT CT STE A,LOMPOC,CA,93436,SANTA BARBARA,34.6432454,-120.4396788
CA-W-20477,COOPERATIVE DE GARAGISTES LLC,MONTEMAR,1501 E CHESTNUT CT STE B,LOMPOC,CA,93436,SANTA BARBARA,34.6432454,-120.4396788
CA-W-17461,"NEW VINELAND, LLC","NEW VINELAND, LLC",1501 E CHESTNUT CT UNIT E,LOMPOC,CA,93436,SANTA BARBARA,34.6432454,-120.4396788
CA-W-16655,"TRIPLE B RANCHES, LP",TRIPLE B RANCHES,15030 VESPER RD,VALLEY CENTER,CA,92082,SAN DIEGO,33.236424,-117.004667
CA-W-23317,JOHN C REDMOND,HIGHLAND RIDGE VINEYARDS,15036 HIGHLAND VALLEY RD,ESCONDIDO,CA,92025,SAN DIEGO,33.069715,-117.0166907
CA-W-21770,TWISTED DAISY LLC,TWISTED ROSE,15040 N NORTHSIGHT BLVD STE 104A&B,SCOTTSDALE,CA,85050,USA,33.622219,-111.8976141
CA-W-3439,KENNEDY HILL ASSOCIATES LLC,KENNEDY HILL VINEYARDS,15050 KENNEDY RD,LOS GATOS,CA,95032,SANTA CLARA,37.2164869,-121.9292713
CA-W-16389,R AND W PURSUITS LLC,R & W VINEYARDS,15060 MONTEBELLO RD,CUPERTINO,CA,95014,SANTA CLARA,37.2897064,-122.0999435
CA-W-16833,TROJAK-KNIER LLC,TK WINERY,151 HARVARD AVE STE A AND B,HALF MOON BAY,CA,94019,SAN MATEO,37.5036912,-122.4932061
CA-W-16557,DAVID SCOTT KEITH AND ROXANNE L. KEITH,SIERRA VIEW WINERY,15160 SIERRA VIEW LN,SUTTER CREEK,CA,95685,AMADOR,38.4294486,-120.7315894
CA-W-17087,MASSICAN LLC,MASSICAN,1518 FILMORE ST,CALISTOGA,CA,94515,NAPA,38.5838863,-122.5832044
CA-W-3599,"LITTLE VINEYARDS FAMILY WINERY, LLC",LITTLE VINEYARDS FAMILY WINERY,15188 SONOMA HWY,GLEN ELLEN,CA,95442,SONOMA,38.3439377,-122.5046311
CA-W-17034,"PALMINA, LLC",PALMINA,1520 E CHESTNUT CT,LOMPOC,CA,93436,SANTA BARBARA,34.642591,-120.4389069
CA-W-15048,"THE LOCK AGRICULTURAL VENTURES, LLC.",ECLUSE,1520 KILER CANYON RD,PASO ROBLES,CA,93446,SAN LUIS OBISPO,35.6103787,-120.7186443
CA-W-21312,GRANITE LION CELLARS LLC,STEELE CANYON WINERY,15201 PRESILLA DR B,JAMUL,CA,91935,SAN DIEGO,32.7121588,-116.8481606
CA-W-23448,ESTEE HILL VINEYARD LLC,ESTEE HILL VINEYARD,1521 ESTEE AVE,NAPA,CA,94558,NAPA,38.3402942,-122.2746339
CA-W-23291,JAMES RONALD CAMPBELL,CORKWOOD CELLARS,1524 CORKWOOD PL,WOODLAND,CA,95695,YOLO,38.6618667,-121.7966023
CA-W-23518,"BAREBOTTLE BREWING COMPANY, INC.",BAREBOTTLE BREWING COMPANY,1525 CORTLAND AVE,SAN FRANCISCO,CA,94110,SAN FRANCISCO,37.7400932,-122.4090746
CA-W-15653,"LANGETWINS WINE COMPANY, INC.",LANGETWINS WINE ESTATES,1525 E JAHANT RD,ACAMPO,CA,95220,SAN JOAQUIN,38.2050529,-121.2976826
CA-W-22240,"NAKEDWINES.COM, INC.",NAKEDWINES.COM,1525 E JAHANT RD,ACAMPO,CA,95220,,38.2050529,-121.2976826
CA-W-22513,"BWSC, LLC",WINC,1525 E JAHANT RD,ACAMPO,CA,95220,,38.2050529,-121.2976826
CA-W-3354,DONALD A. THIESSEN,THIESSEN WINERY,1525 PEACHY CANYON RD,PASO ROBLES,CA,93446,SAN LUIS OBISPO,35.6217647,-120.7137988
CA-W-23180,RUSTY RIDGE WINERY LLC,RUSTIC RIDGE VINEYARDS,15262 LYONS VALLEY RD,JAMUL,CA,91935,SAN DIEGO,32.7282477,-116.8325648
CA-W-23427,MADSON WINES LLC,MADSON WINES,153 LAS COLINAS DR,CORRALITOS,CA,95076,,37.0059101,-121.8041365
CA-W-23199,"LITTLE RIDGE VINEYARDS, LLC",LITTLE RIDGE VINEYARD,153 LAS COLINAS RD,CORRALITOS,CA,95076,SANTA CRUZ,37.0059101,-121.8041365
CA-W-17638,NATHANIEL JOSIAH REUTER,ARDAVEN WINERY,15315 WILLOW CREEK RD,PLYMOUTH,CA,95669,AMADOR,38.434368,-120.902042
CA-W-23083,"RONALD M. BAS, LLC",BASTIANS VINEYARDS,15326 BANDY CANYON RD,ESCONDIDO,CA,92025,SAN DIEGO,33.0699402,-117.0097432
CA-W-17277,"BEACH HOUSE WINERY, INC.",BEACH HOUSE WINERY,1534 SLEEPING INDIAN RD,FALLBROOK,CA,92028,SAN DIEGO,33.2947412,-117.2626974
CA-W-21728,MURALI CHIRALA AND ANU CHIRALA,CHIRALA VINEYARDS,15354 SYCAMORE DR,MORGAN HILL,CA,95037,SANTA CLARA,37.0933621,-121.6499672
CA-W-20347,ROBERTO ESPINOSA & NOELLE ESPINOSA,ESPINOSA VINEYARD,15360 BRANDY CANYON RD,ESCONDIDO,CA,92025,SAN DIEGO,33.0704632,-117.0094774
CA-W-20315,"HAMEL FAMILY WINES, LLC",HAMEL FAMILY WINES,15401 & 15409 SONOMA HWY,SONOMA,CA,95476,SONOMA,38.3457006,-122.4940446
CA-W-1840,F. KORBEL & BROS.,HECK CELLARS,15401 BEAR MOUNTAIN WINERY RD,DI GIORGIO,CA,93203,KERN,35.2594632,-118.8314593
