PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude,Merge_Name
CA-W-22648,"DAKOTA-SHY WINE CO, LLC",DAKOTA SHY WINERY,771 SAGE CANYON RD,ST. HELENA,CA,94574,NAPA,38.4865939,-122.401241,DAKOTA SHY
CA-W-1729,"OAKVILLE HILLS CELLAR, INC.",DALLA VALLE VINEYARDS,7776 SILVERADO TRL,OAKVILLE,CA,94562,NAPA,38.4587482,-122.3667589,DALLA VALLE
CA-W-15699,"DANA ESTATES, INC.",DANA ESTATES,1895 CABERNET LN,SAINT HELENA,CA,94574,NAPA,38.4724906,-122.4508466,DANA
CA-W-21778,"DANCING CROW VINEYARDS, LLC",DANCING CROW,105 ZINFANDEL LN,ST HELENA,CA,94574,NAPA,38.4889858,-122.4282924,DANCING CROW
CA-W-23629,DANE CELLARS LLC,DANE CELLARS,22020 CARNEROS VINEYARD WAY STE 2,SONOMA,CA,94576,SONOMA,38.2552759,-122.4381754,DANE
CA-W-24055,"DANI GOLD WINES, LLC","DANI GOLD WINES, LLC",1001 SILVERADO TRAIL S,ST. HELENA,CA,94574,NAPA,38.5054893,-122.4400002,DANI GOLD
CA-W-15109,"D'ARGENZIO WINERY, INC.",D'ARGENZIO WINERY,1301-A CLEVELAND AVE,SANTA ROSA,CA,95401,SONOMA,38.4490135,-122.7274776,D'ARGENZIO
CA-W-3429,"DARMS LANE, LLC",DARMS LANE VINEYARD,5055 SOLANO AVE,NAPA,CA,94558,NAPA,38.3523381,-122.3348428,DARMS LANE
CA-W-16223,"DARRIN FAMILY VINEYARDS, LLC",DARRIN FAMILY VINEYARDS,2456 N 3RD AVE,NAPA,CA,94558,NAPA,38.3207045,-122.2351298,DARRIN
CA-W-15298,"DAVERO SONOMA, INC.",DAVERO SONOMA,766 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.6035801,-122.8839455,DAVERO SONOMA
CA-W-15101,DAVID ARTHUR VINEYARDS LLC,DAVID ARTHUR VINEYARDS,210 LONG RANCH RD,SAINT HELENA,CA,94574,NAPA,38.4676719,-122.3487278,DAVID ARTHUR
CA-W-16275,DAVID BRIAN NOYES,DAVID NOYES WINES,11600 DUNBAR RD,GLEN ELLEN,CA,95442,SONOMA,38.3872243,-122.5294955,DAVID NOYES
CA-W-21702,DAVIS ESTATES LLC,DAVIS ESTATES,4060 SILVERADO TRL,CALISTOGA,CA,94515,NAPA,38.5704212,-122.5141577,DAVIS
CA-W-3434,DAVIS-LEHRMITAGE LLC,DAVIS-LEHRMITAGE,52 FRONT ST,HEALDSBURG,CA,95448,SONOMA,38.6061446,-122.8613955,DAVIS-LEHRMITAGE
CA-W-23432,"DAYLIGHT WINE COMPANY, LLC",DAYLIGHT WINE COMPANY,21481 8TH ST E STE 25 & 30,SONOMA,CA,95476,SONOMA,38.2627706,-122.4421235,DAYLIGHT
CA-W-15315,"D-CUBED CELLARS, INC.",D-CUBED CELLARS,1091 LARKMEAD LN,CALISTOGA,CA,94515,NAPA,38.559337,-122.5222468,D-CUBED
CA-W-20154,"DE LA MONTANYA WINERY, INC.",DE LA MONTANYA WINERY AND VINEYARDS,999 FOREMAN LN,HEALDSBURG,CA,95448,SONOMA,38.581398,-122.878069,DE LA MONTANYA AND
CA-W-17495,"WHEELER WINERY, INC.",DE LOACH WINERY,849 ZINFANDEL LN,SAINT HELENA,CA,94574,NAPA,38.485519,-122.43762,DE LOACH
CA-W-23848,"PHOENIX WINE COMPANY, LLC",DE NEGOCE,110 - 122 CAMINO ORUGA,NAPA,CA,94558,NAPA,38.229228,-122.2557289,DE NEGOCE
CA-W-15063,"DEBURKA WINES, LLC",DEBURCA WINES,6581 RIVER RD,FORESTVILLE,CA,95436,SONOMA,38.4889433,-122.8609924,DEBURCA
CA-W-15159,DEERFIELD RANCH WINERY LLC,DEERFIELD RANCH WINERY,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918,DEERFIELD RANCH
CA-W-2953,DEERFIELD RANCH WINERY LLC,DEERFIELD RANCH WINERY,1310 WARM SPRINGS RD,GLEN ELLEN,CA,95442,SONOMA,38.4003457,-122.5511724,DEERFIELD RANCH
CA-W-16668,"DEERING WINE USA, LLC",DEERING WINE,24505 CHIANTI RD,CLOVERDALE,CA,95425,SONOMA,38.7385847,-122.9499071,DEERING
CA-W-23740,"DEFIANCE WINE COMPANY, LLC",DEFIANCE WINE COMPANY,3524 SILVERADO TRL N,ST HELENA,CA,94574,NAPA,38.5473988,-122.4883611,DEFIANCE
CA-W-20309,DAVID HUNT,DEFINE WINES,2545 NAPA VALLEY CORPORATE DR STE C,NAPA,CA,94558,NAPA,38.2539682,-122.2761996,DEFINE
CA-W-16157,LORI ANN TELDESCHI & RAYMOND GENE TELDESCHI,DEL CARLO WINERY,9611 W DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.7042027,-122.9782055,DEL CARLO
CA-W-15929,DEL DOTTO VINEYARDS,DEL DOTTO WINERY & CAVES,1445 ST. HELENA HWY,SAINT HELENA,CA,94574,NAPA,38.479914,-122.4425216,DEL DOTTO & CAVES
CA-W-22546,"VINTAGE WINE ESTATES, INC.",DELECTUS WINERY,1091 SAINT HELENA HWY,SAINT HELENA,CA,94574,NAPA,38.4844082,-122.4463921,DELECTUS
CA-W-23536,"DELGADILLO WINE COMPANY, LLC",DELGADILLO CELLARS,901 ENTERPRISE WAY STE C,NAPA,CA,94558,NAPA,38.2586856,-122.2736068,DELGADILLO
CA-W-16842,"DELGADILLO WINE COMPANY, LLC",DELGADILLO WINE COMPANY,2812 SACRAMENTO ST,NAPA,CA,94558,NAPA,38.3126633,-122.3049154,DELGADILLO
CA-W-15176,"WHEELER WINERY, INC.",DELOACH WINERY,1791 OLIVET RD,SANTA ROSA,CA,95401,SONOMA,38.4615106,-122.8211952,DELOACH
CA-W-2973,"DEMUTH WINERY & VINEYARDS, LLC",DEMUTH WINERY,2599 LAUGHLIN RD,WINDSOR,CA,95492,SONOMA,38.5020767,-122.7928006,DEMUTH
CA-W-23546,"DENMAN RANCH, LLC",DENMAN RANCH,111 GOODWIN AVE,PENNGROVE,CA,94951,SONOMA,38.2841478,-122.6685598,DENMAN RANCH
CA-W-3291,"DERBES, LLC",DERBES WINES,227 TREADWAY DR,CLOVERDALE,CA,95425,SONOMA,38.782865,-123.0149406,DERBES
CA-W-21384,"DESANTE WINES, LLC",DESANTE WINES,3524 N SILVERADO TRL,ST. HELENA,CA,94574,NAPA,38.5473988,-122.4883611,DESANTE
CA-W-16016,WILLIAM DESMOND ROBBINS AND DANETTE SUSANNE ROBBINS,DESMOND WINES,3358 COFFEY LN,SANTA ROSA,CA,95403,SONOMA,38.4722735,-122.7431565,DESMOND
CA-W-16624,"DESTINO WINE GROUP, LLC",DESTINO WINES,1075 BUCHLI STATION RD,NAPA,CA,94559,NAPA,38.2223894,-122.3339598,DESTINO
CA-W-15424,"DETERT FAMILY VINEYARDS, LLC",DETERT FAMILY,771 SAGE CANYON RD,SAINT HELENA,CA,94574,NAPA,38.4865939,-122.401241,DETERT
CA-W-21872,W.J. DEUTSCH & SONS LTD.,DEUTSCH FAMILY WINE & SPIRITS,1077 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA,38.572037,-122.550632,DEUTSCH & SPIRITS
CA-W-2894,"JPPZ, INC.",DEUX AMIS WINERY,1290 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6326374,-122.8951478,DEUX AMIS
CA-W-23683,"DIAMOND MOUNTAIN VINEYARD COMPANY, INC.",DIAMOND CREEK VINEYARDS,1500 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,NAPA,38.5652438,-122.5735261,DIAMOND CREEK
CA-W-21618,"DIAMOND RIDGE VINEYARDS, LLC",DIAMOND RIDGE VINEYARDS,2064 GRAVENSTEIN HWY N BLDG 1,SEBASTOPOL,CA,95472,SONOMA,38.4244389,-122.8481434,DIAMOND RIDGE
CA-W-3084,"DIAMOND TERRACE VINEYARDS, LLC",DIAMOND TERRACE,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA,38.5981148,-122.4635753,DIAMOND TERRACE
CA-W-17615,SANDRA K. DICKSON,DICKSON FAMILY WINES,742 SUNNYSIDE RD,SAINT HELENA,CA,94574,NAPA,38.53873,-122.4661183,DICKSON
CA-W-21012,"DIRTY AND ROWDY WINE COMPANY, LLC",DIRTY AND ROWDY FAMILY WINE COMPANY,6705 CRISTO LN,SANTA ROSA,CA,95409,SONOMA,38.4465684,-122.6024999,DIRTY AND ROWDY
CA-W-2926,"DOLCE, LLC",DOLCE,1350 ACACIA DR,OAKVILLE,CA,94562,NAPA,38.426422,-122.4038974,DOLCE
CA-W-17651,"DOM WHITNEY WINES, LLC",DOM WHITNEY WINES,9000 WINDSOR RD STE B,WINDSOR,CA,95492,SONOMA,38.5475332,-122.8165732,DOM WHITNEY
CA-W-1607,"DOMAINE CARNEROS, LTD.",DOMAINE CARNEROS,1240 DUHIG RD,NAPA,CA,94559,NAPA,38.2554879,-122.351308,DOMAINE CARNEROS
CA-W-685,"DOMAINE CHANDON, INC.",DOMAINE CHANDON,1 CALIFORNIA DR,YOUNTVILLE,CA,94599,NAPA,38.397359,-122.3645418,DOMAINE CHANDON
CA-W-23089,DOMAINE DELLA DALE LLC,DOMAINE DELLA,3358 COFFEY LN STE D,SANTA ROSA,CA,95401,SONOMA,38.4722735,-122.7431565,DOMAINE DELLA
CA-W-3013,"DONELAN FAMILY WINE CELLARS, LLC",DONELAN FAMILY WINE CELLARS,3352 COFFEY LN,SANTA ROSA,CA,95403,SONOMA,38.4717083,-122.7434577,DONELAN
CA-W-23730,"AHEB, LLC",DOOR BY AEB,3524 N SILVERADO TRAIL,ST. HELENA,CA,94474,NAPA,38.5473988,-122.4883611,DOOR BY AEB
CA-W-23953,DOUBLEPLUS WINE COMPANY LLC,DOUBLEPLUS WINE CO,3718 ST HELENA HWY,CALISTOGA,CA,94515,NAPA,38.5532231,-122.5215064,DOUBLEPLUS CO
CA-W-21176,"DOVE HILL VINEYARDS, LLC",DOVE HILL VINEYARDS,3450 SAGE CANYON RD,ST. HELENA,CA,94574,NAPA,38.5055797,-122.2764047,DOVE HILL
CA-W-21382,DRAGON SPIRITZ VINEYARD,DRAGON SPIRITZ VINEYARD,3106 SILVERADO TRL,NAPA,CA,94558,NAPA,38.3488982,-122.282978,DRAGON SPIRITZ
CA-W-21557,"M. DRAXTON, INC.",DRAXTON WINES,1431 A&B GROVE ST,HEALDSBURG,CA,95448,SONOMA,38.6294191,-122.8771774,DRAXTON
CA-W-22680,"DRISCOLL WINE COMPANY, LLC",DRISCOLL WINE COMPANY,7554 ST. HELENA HWY,NAPA,CA,94558,NAPA,38.4262941,-122.3890279,DRISCOLL
CA-W-23405,TOM YOUNG & JOHN MUSTO,DRIVE WINES,1290 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6326374,-122.8951478,DRIVE
CA-W-23985,DANIEL RAY MANIES,DRM WINERY,1758 INDUSTRIAL WAY STE 213,NAPA,CA,94558,NAPA,38.3193028,-122.3040748,DRM
CA-W-21113,DRNK LLC,DRNK,3637 FREI RD,SEBASTOPOL,CA,95472,SONOMA,38.4364734,-122.8461954,DRNK
CA-W-483,DRY CREEK VINEYARD INC.,DRY CREEK VINEYARD,3770 LAMBERT BRIDGE RD,HEALDSBURG,CA,95448,SONOMA,38.6528725,-122.9239876,DRY CREEK
CA-W-24008,STEVE AND CANDACE SOMMER,DRY CREEK FLOWER CO.,10200 SONOMA HWY,KENWOOD,CA,95442,SONOMA,38.4063036,-122.5419918,DRY CREEK FLOWER
CA-W-16543,DUCKHORN WINE COMPANY,DUCKHORN VINEYARDS,1000 LODI LN,SAINT HELENA,CA,94574,NAPA,38.5287802,-122.4904182,DUCKHORN
CA-W-21368,SLOAN FAMILY WINERY LLC,DUE RUSCELLI WINERY,994 LIMERICK LN,HEALDSBURG,CA,95448,SONOMA,38.5873198,-122.8314116,DUE RUSCELLI
CA-W-22273,"DUMOL WINERY, LLC",DUMOL,1400 AMERICAN WAY,WINDSOR,CA,95492,SONOMA,38.5301384,-122.8003814,DUMOL
CA-W-22797,SAND HILL WINES LLC,DUNSTAN WINES,21684 E EIGHTH ST STE 440-450,SONOMA,CA,95476,SONOMA,38.291859,-122.4580356,DUNSTAN
CA-W-23419,DOMAINE DUPUITS LLC,DUPUIS WINES,"25 HEALDSBURG AVE BLDG 20, 21, 30",HEALDSBURG,CA,95448,SONOMA,38.6037103,-122.8630696,DUPUIS
CA-W-15261,JEFFREY SCOTT SMITH,DUSINBERRE,1111 BERRY ST,CALISTOGA,CA,94515,NAPA,38.5769899,-122.583867,DUSINBERRE
CA-W-15617,CHARLES E. HEINTZ,DUTCH BILL CREEK WINERY,3280 HARRISON GRADE RD,SEBASTOPOL,CA,95472,SONOMA,38.420069,-122.936245,DUTCH BILL CREEK
CA-W-1927,OAT HILL CORPORATION,DUTCH HENRY WINERY,4300 SILVERADO TRL,CALISTOGA,CA,94515,NAPA,38.5770715,-122.5257165,DUTCH HENRY
CA-W-15939,"MATHY WINERY, LLC",DUTCHER CROSSING,8533 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.7097818,-122.9740471,DUTCHER CROSSING
CA-W-2895,"SEBASTOPOL VINEYARDS & WINERY, CORP.",DUTTON ESTATE WINERY,8757 GREEN VALLEY RD,SEBASTOPOL,CA,95472,SONOMA,38.4448147,-122.8645014,DUTTON
CA-W-2612,"DUTTON-GOLDFIELD WINERY, LLC",DUTTON GOLDFIELD,4055 W OLIVET RD,SANTA ROSA,CA,95401,SONOMA,38.474604,-122.821379,DUTTON GOLDFIELD
CA-W-1055,ROBERT A. CUTTER & DEBORAH A. CUTTER,DUXOUP WINE WORKS,9611 W DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.7042027,-122.9782055,DUXOUP WORKS
CA-W-22233,"D'VINE INTERVENTION, LLC",D'VINE INTERVENTION,110 DODD CT,AMERICAN CANYON,CA,94503,NAPA,38.1943135,-122.2583433,D'VINE INTERVENTION
CA-W-2782,DYER STRAITS WINE COMPANY LLC,DYER STRAITS WINE COMPANY,335 W LANE,ANGWIN,CA,94508,NAPA,38.5635302,-122.4655433,DYER STRAITS
CA-W-17752,E. & J. GALLO WINERY,J VINEYARDS & WINERY,11447 OLD REDWOOD HWY,HEALDSBURG,CA,95448,SONOMA,38.572639,-122.8427365,E & J GALLO
CA-W-3475,"EAGLE'S TRACE, LLC",EAGLE'S TRACE,680 ROSSI RD,SAINT HELENA,CA,94574,NAPA,38.515496,-122.411062,EAGLE'S TRACE
CA-W-2571,"EB INVESTMENTS, LLC",EB WINERY,625 WARM SPRINGS RD,KENWOOD,CA,95452,SONOMA,38.4073786,-122.5526202,EB
CA-W-22166,"ECO TERRENO WINES, INC.",ECO TERRENO WINES,2859 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6504931,-122.912024,ECO TERRENO
CA-W-17080,"AMERICAN WINESECRETS, LLC",WINESECRETS,1446 INDUSTRIAL AVE WHSE 2,SEBASTOPOL,CA,95472,SONOMA,38.3855154,-122.8116231,ECRETS
CA-W-22900,"EDWARD LEWIS CELLARS, LLC",EDWARD LEWIS CELLARS,110 CAMINO ORUGA,NAPA,CA,94558,NAPA,38.229228,-122.2557289,EDWARD LEWIS
CA-W-22134,"EGAN VINEYARDS & OLIVE GROVES, LLC",EGAN VINEYARDS,"520 CALIFORNIA BLVD STE 18,19,20",NAPA,CA,94559,NAPA,38.2938735,-122.30021,EGAN
CA-W-3033,"NEW VAVIN, INC.",EHLERS ESTATE,3222 EHLERS LN,SAINT HELENA,CA,94574,NAPA,38.5320484,-122.4981544,EHLERS
CA-W-17583,"EHREN JORDAN WINE CELLARS, LLC",EHREN JORDAN WINE CELLARS,3358 SAINT HELENA HWY,SAINT HELENA,CA,94574,NAPA,38.5402791,-122.506731,EHREN JORDAN
CA-W-17581,"EHREN JORDAN WINE CELLARS, LLC",EHREN JORDAN WINE CELLARS,3530 SILVERADO TRL,SAINT HELENA,CA,94574,NAPA,38.5486016,-122.4909476,EHREN JORDAN
CA-W-21392,KERWIN ESTATE LLC,EISELE VINEYARD ESTATE,2155 PICKETT RD,CALISTOGA,CA,94515,NAPA,38.5844112,-122.5544865,EISELE
CA-W-15880,"EL MOLINO WINERY, LLC",EL MOLINO,3315 SAINT HELENA HWY,SAINT HELENA,CA,94574,NAPA,38.5377039,-122.5077151,EL MOLINO
CA-W-2876,ELLIOTT-SMITH DEVELOPMENT COMPANY,ELAN VINEYARDS,4500 ATLAS PEAK RD,NAPA,CA,94558,NAPA,38.4461299,-122.249512,ELAN
CA-W-17159,"MELANGE A TROIS, LLC",ELEMENTS OF SONOMA,620 TRANCAS ST,NAPA,CA,94558,NAPA,38.3260157,-122.2876543,ELEMENTS OF SONOMA
CA-W-21616,"ELEGANCE PROPERTIES, LLC",ELEVEN ELEVEN WINES,620 TRANCAS ST,NAPA,CA,94558,NAPA,38.3260157,-122.2876543,ELEVEN ELEVEN
CA-W-17249,"ELIXIR WINE CO, INC.",ELIXIR WINE CO.,5055 SOLANO AVE,NAPA,CA,94558,NAPA,38.3523381,-122.3348428,ELIXIR
CA-W-23577,"ELKHORN PEAK CELLARS, LLC",ELKHORN PEAK CELLARS,2545 NAPA VALLEY CORPORATE DR STE C,NAPA,CA,94558,NAPA,38.2539682,-122.2761996,ELKHORN PEAK
CA-W-3000,ANDREW MICHAEL ELLICOCK,ELLICOCK FAMILY WINERY,136 KIRKLAND RANCH RD,NAPA,CA,94558,NAPA,38.2216009,-122.2333067,ELLICOCK
CA-W-16649,"CHARLES NORMAN ELSBREE, JR. AND DIANA LYNN ELSBREE",ELSBREE FAMILY VINEYARDS,4791 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6740916,-122.9326293,ELSBREE
CA-W-23716,"SILVER ROSE WINERY OPERATOR, LLC",ELUSA WINERY,400 SILVERADO TRL,CALISTOGA,CA,94515,NAPA,38.5844062,-122.5669271,ELUSA
CA-W-23341,HQ WINERY LLC,ELYSE WINERY,2100 HOFFMAN LN,NAPA,CA,94558,NAPA,38.3836793,-122.3545457,ELYSE
CA-W-3420,GOLDRIDGEPINOT.COM LLC,EMERITUS VINEYARDS,2500 GRAVENSTEIN HWY,SEBASTOPOL,CA,95472,SONOMA,38.4281164,-122.8519012,EMERITUS
CA-W-22062,EMMITT-SCORSONE WINES LLC,EMMITT SCORSONE WINES,1830 JAMESON RD,HEALDSBURG,CA,95448,SONOMA,38.6242953,-122.9126171,EMMITT SCORSONE
CA-W-23005,"GOOSE EGG, LLC",EMPATHY WINES,110 -122 CAMINO ORUGA,NAPA,CA,94558,NAPA,38.2291305,-122.2555266,EMPATHY
CA-W-21531,JOHN R MASON AND CHRISTINE R MASON,EMTU ESTATE WINES,6111 VAN KEPPEL RD,FORESTVILLE,CA,95436,SONOMA,38.4777861,-122.8840879,EMTU
CA-W-22194,"ENCANTADO, INC.",ENCANTADO WINES,"3524 SILVERADO TRL, N",ST. HELENA,CA,94574,NAPA,38.5473988,-122.4883611,ENCANTADO
CA-W-21750,JOHN ENFIELD LOCKWOOD,ENFIELD WINE CO.,1160 HOPPER AVE,SANTA ROSA,CA,95403,SONOMA,38.4787228,-122.7408096,ENFIELD
CA-W-15293,"ENKIDU WINE, LLC",ENKIDU WINE,22985 BURNDALE RD BLDG A & B,SONOMA,CA,95476,SONOMA,38.2453253,-122.4224812,ENKIDU
CA-W-17675,"NICKEL & NICKEL VINEYARDS, L.L.C.",ENROUTE WINERY,"2064 HIGHWAY 116 STE 503, 5",SEBASTOPOL,CA,95472,SONOMA,38.4246556,-122.8481796,ENROUTE
CA-W-21324,"ENTERPRISE WINE COMPANY, LLC",ENTERPRISE WINE COMPANY,910 ENTERPRISE WAY STE M,NAPA,CA,94558,NAPA,38.2598168,-122.2718577,ENTERPRISE
CA-W-16834,"KRISTINE ASHE VINEYARDS, LLC",ENTRE NOUS,270 KREUZER LN,NAPA,CA,94559,NAPA,38.280827,-122.2284214,ENTRE NOUS
CA-W-15908,"ENVY WINES, LLC",ENVY WINES,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA,38.5918834,-122.6018226,ENVY
CA-W-23803,"LEEMIND, INC.",EP WINE,270 KREUZER LN,NAPA,CA,94559,NAPA,38.280827,-122.2284214,EP
CA-W-22445,"ERBA ESTATE VINEYARDS, L.L.C.",ERBA MOUNTAINSIDE VINEYARDS,7830 -40 ST. HELENA HWY STE 13,OAKVILLE,CA,94562,NAPA,38.4501216,-122.4147511,ERBA MOUNTAINSIDE
CA-W-15694,"ERIC KENT WINE CELLARS, LLC",ERIC KENT WINE CELLARS,1160 HOPPER AVE,SANTA ROSA,CA,95403,SONOMA,38.4787228,-122.7408096,ERIC KENT
CA-W-23338,"ERIC KENT WINE CELLARS, LLC",ERIC KENT WINE CELLARS,24505 CHIANTI RD,CLOVERDALE,CA,95425,SONOMA,38.7385847,-122.9499071,ERIC KENT
CA-W-16806,ERIC ROSS WINERY LLC,ERIC ROSS WINERY,14300 ARNOLD DR,GLEN ELLEN,CA,95442,SONOMA,38.3541059,-122.5247883,ERIC ROSS
CA-W-15754,LESLIE BEHRENS AND LISA DRINKWARD,ERNA SCHEIN,4078 SPRING MOUNTAIN RD,SAINT HELENA,CA,94574,NAPA,38.5244284,-122.5515672,ERNA SCHEIN
CA-W-23346,RUBENSTEINS LLC,EROSION WINE CO.,7415 SAINT HELENA HWY,YOUNTVILLE,CA,94599,NAPA,38.4192422,-122.3888066,EROSION
CA-W-23883,ESSERE FRANCO L.P.,ESSERE FRANCO,5055 SOLANO AVE,NAPA,CA,94558,NAPA,38.3523381,-122.3348428,ESSERE FRANCO
CA-W-23448,ESTEE HILL VINEYARD LLC,ESTEE HILL VINEYARD,1521 ESTEE AVE,NAPA,CA,94558,NAPA,38.3402942,-122.2746339,ESTEE HILL
CA-W-17567,"EUCLID WINES, LLC",EUCLID WINES,2747 & 2731 NAPA VALLEY CORPORATE DR,NAPA,CA,94558,NAPA,38.2487267,-122.27657,EUCLID
CA-W-21358,"ELV HOLDINGS, INC.",EVENING LAND & VINEYARD,1160 HOPPER AVE,SANTA ROSA,CA,95403,SONOMA,38.4787228,-122.7408096,EVENING LAND
CA-W-17668,"ARCANA, LLC",F ARMSTRONG WINE COMPANY,21684 EIGHTH ST E STE 600,SONOMA,CA,95476,SONOMA,38.2598449,-122.4367049,F ARMSTRONG
CA-W-32,F. KORBEL & BROS.,F. KORBEL & BROS.,13250 RIVER RD,GUERNEVILLE,CA,95446,SONOMA,38.5087633,-122.9655316,F. KORBEL & BROS.
CA-W-1936,DAN PETE TELDESCHI,F. TELDESCHI WINERY,3555 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6556779,-122.921997,F. TELDESCHI
CA-W-22543,FAIRCHILD NAPA VALLEY LLC,FAIRCHILD NAPA VALLEY,335 WEST LN,ANGWIN,CA,94508,NAPA,38.5635302,-122.4655433,FAIRCHILD NAPA VALLEY
CA-W-22102,"FAIRWINDS ESTATE, LLC",FAIRWINDS ESTATE,4550 SILVERADO TRL N,CALISTOGA,CA,94515,NAPA,38.5754844,-122.5495595,FAIRWINDS
CA-W-21904,"FAIT MAIN, LLC",FAIT MAIN,3730 SILVERADO TRL,ST. HELENA,CA,94574,NAPA,38.554794,-122.5010513,FAIT MAIN
CA-W-15194,FANTESCA LLC,FANTESCA,2920 SPRING MOUNTAIN RD,SAINT HELENA,CA,94574,NAPA,38.5098404,-122.4952758,FANTESCA
CA-W-1940,"FAR NIENTE WINERY, INC.",FAR NIENTE,1350 ACACIA DR,OAKVILLE,CA,94562,NAPA,38.426422,-122.4038974,FAR NIENTE
CA-W-23495,PEDRO RODRIGUEZ,FATHIA WINES,39 EDGEFIELD CT,NAPA,CA,94558,NAPA,38.3340234,-122.330304,FATHIA
CA-W-23591,HUNEEUS WINES LLC,FAUST,2867 ST. HELENA HWY,ST. HELENA,CA,94574,NAPA,38.5186247,-122.4921856,FAUST
CA-W-21275,GUERRERO ENTERPRISES LLC,FAUSTA FAMILY VINEYARDS,20120 5TH ST W,SONOMA,CA,95476,SONOMA,38.2810943,-122.4695678,FAUSTA
CA-W-2362,FRED S. FAVERO,FAVERO VINEYARDS,3939 LOVALL VALLEY RD,SONOMA,CA,95476,SONOMA,38.3010957,-122.4037204,FAVERO
CA-W-23084,"CV WINE, LLC",FE WINES,831 LATOUR CT STE C,NAPA,CA,94558,NAPA,38.2554615,-122.2723007,FE
CA-W-17026,"COME TOGETHER, LLC",FEL WINES,22020 CARNEROS VINEYARD WAY STE 5,SONOMA,CA,95476,SONOMA,38.2552759,-122.4381754,FEL
CA-W-23898,"FOLEY FAMILY WINES, INC.",FERRARI-CARANO VINEYARDS & WINERY,8761 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.7114035,-122.9782368,FERRARI-CARANO
CA-W-23108,TTG VENTURES LLC,FERREN,7011 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5246502,-122.8662302,FERREN
CA-W-16910,ARTHUR FICHTENBERG & ASSOCIATES,FICHTENBERG VINEYARDS,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918,FICHTENBERG
CA-W-764,"FIELD STONE WINERY & VINEYARD, INC.",FIELD STONE WINERY,10075 HIGHWAY 128,HEALDSBURG,CA,95448,SONOMA,38.6392882,-122.774614,FIELD STONE
CA-W-22886,WINEPLAYGROUND.COM,FIFTYROW VINYARDS,5225 SOLANO AVE,NAPA,CA,94558,NAPA,38.3637594,-122.3391379,FIFTYROW VINYARDS
CA-W-23168,"TALERUCIO, LLC",FIGONE'S OF CALIFORNIA,21660 8TH ST E BLDG A,SONOMA,CA,95476,SONOMA,38.2593961,-122.4378415,FIGONE'S OF CALIFORNIA
CA-W-23439,"NIO FAMILY WINES, LLC",FILOMENA WINE COMPANY,21481 8TH ST E STE 15,SONOMA,CA,95476,SONOMA,38.2627706,-122.4421235,FILOMENA
CA-W-22379,KEVIN CASEY,FINNELLA CELLARS,25 HEALDSBURG AVE,HEALDSBURG,CA,95448,SONOMA,38.6037103,-122.8630696,FINNELLA
CA-W-21419,"FIOR DI SOLE, LLC",FIOR DI SOLE,2515 AND 2545 NAPA VALLEY CORPORATE DR,NAPA,CA,94558,NAPA,38.2554498,-122.2753699,FIOR DI SOLE
CA-W-23381,FISHER VINEYARDS,FISHER VINEYARDS,4771 SILVERADO TRL,CALISTOGA,CA,94515,NAPA,38.5777656,-122.558036,FISHER
CA-W-23535,"FITZGERALD WINE COMPANY, INC.",FITZ WINE CO.,2064 N 116 HWY STE 134,SEBASTOPOL,CA,95472,SONOMA,38.4246556,-122.8481796,FITZ
CA-W-23119,FIVE S WINES LLC,FIVE S WINES,1200 AMERICAN WAY,WINDSOR,CA,95492,SONOMA,38.5296929,-122.799854,FIVE S
CA-W-22341,"FLAMBEAUX WINE, LLC",FLAMBEAUX WINE,1200 AMERICAN WAY,WINDSOR,CA,95492,SONOMA,38.5296929,-122.799854,FLAMBEAUX
CA-W-15783,"MORLEY WINERY, LLC",FLANAGAN FAMILY VINEYARDS,6860 SERENITY WAY,SANTA ROSA,CA,95404,SONOMA,38.4000363,-122.6045388,FLANAGAN
CA-W-23434,"D. NOVY LEE, LLC",FLAUNT WINE COMPANY,851 MAGNOLIA DR,HEALDSBURG,CA,95448,SONOMA,38.5922955,-122.8619903,FLAUNT
CA-W-3462,"METROPOLITAN WINES, LLC",FLEURY FAMILY WINES,950 GALLERON RD,SAINT HELENA,CA,94574,NAPA,38.4812051,-122.4243616,FLEURY
